,UID,State,Date Collected,Result,Waterbody,SITESAMP,Region,Province,Parameter
17,61,CA,7/1/2010,0.0481,Mission Bay,Y,West,Californian Province,Total Phosphorus (mg P/L)
18,61,CA,7/1/2010,0.03,Mission Bay,Y,West,Californian Province,Dissolved Inorganic Phosphate (mg P/L)
19,61,CA,7/1/2010,0.009,Mission Bay,Y,West,Californian Province,Nitrate/Nitrite (mg N/L)
20,61,CA,7/1/2010,3.82,Mission Bay,Y,West,Californian Province,Chlorophyll A (ug/L)
21,62,CA,7/1/2010,0.028,San Diego Bay,Y,West,Californian Province,Dissolved Inorganic Phosphate (mg P/L)
22,62,CA,7/1/2010,0.0,San Diego Bay,Y,West,Californian Province,Ammonia (mg N/L)
23,62,CA,7/1/2010,0.23875,San Diego Bay,Y,West,Californian Province,Total Nitrogen (mg N/L)
24,62,CA,7/1/2010,0.01,San Diego Bay,Y,West,Californian Province,Nitrate/Nitrite (mg N/L)
25,62,CA,7/1/2010,0.01,San Diego Bay,Y,West,Californian Province,Dissolved Inorganic Nitrogen (mg N/L)
26,62,CA,7/1/2010,0.04425125,San Diego Bay,Y,West,Californian Province,Total Phosphorus (mg P/L)
27,62,CA,7/1/2010,6.13,San Diego Bay,Y,West,Californian Province,Chlorophyll A (ug/L)
28,63,NC,6/9/2010,0.09063625,White Oak River,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
29,63,NC,6/9/2010,0.6325,White Oak River,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
30,63,NC,6/9/2010,0.03,White Oak River,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
31,63,NC,6/9/2010,0.043,White Oak River,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
32,63,NC,6/9/2010,0.002,White Oak River,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
33,63,NC,6/9/2010,0.028,White Oak River,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
34,63,NC,6/9/2010,9.79,White Oak River,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
35,64,NC,6/22/2010,0.089,Back Sound,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
36,64,NC,6/22/2010,0.031,Back Sound,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
37,64,NC,6/22/2010,0.015376875,Back Sound,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
38,64,NC,6/22/2010,0.031,Back Sound,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
39,64,NC,6/22/2010,0.164375,Back Sound,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
40,64,NC,6/22/2010,0.0,Back Sound,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
41,64,NC,6/22/2010,3.04,Back Sound,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
42,65,NC,6/16/2010,0.002,Pamlico Sound,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
43,65,NC,6/16/2010,0.017,Pamlico Sound,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
44,65,NC,6/16/2010,0.01,Pamlico Sound,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
45,65,NC,6/16/2010,0.019,Pamlico Sound,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
46,65,NC,6/16/2010,0.036338,Pamlico Sound,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
47,65,NC,6/16/2010,0.443,Pamlico Sound,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
48,65,NC,6/16/2010,7.51,Pamlico Sound,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
49,66,NC,6/22/2010,0.05,Bogue Sound,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
50,66,NC,6/22/2010,0.0,Bogue Sound,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
51,66,NC,6/22/2010,0.078323125,Bogue Sound,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
52,66,NC,6/22/2010,0.535625,Bogue Sound,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
53,66,NC,6/22/2010,0.029,Bogue Sound,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
54,66,NC,6/22/2010,0.029,Bogue Sound,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
55,66,NC,6/22/2010,10.96,Bogue Sound,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
56,67,NC,6/2/2010,0.60875,Upper Broad Creek,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
57,67,NC,6/2/2010,0.013,Upper Broad Creek,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
58,67,NC,6/2/2010,0.0,Upper Broad Creek,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
59,67,NC,6/2/2010,0.005,Upper Broad Creek,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
60,67,NC,6/2/2010,0.05833375,Upper Broad Creek,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
61,67,NC,6/2/2010,0.005,Upper Broad Creek,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
62,67,NC,6/2/2010,13.63,Upper Broad Creek,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
63,68,NC,6/7/2010,0.02,Lockwood Follys River,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
64,68,NC,6/7/2010,0.7125,Lockwood Follys River,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
65,68,NC,6/7/2010,0.04730875,Lockwood Follys River,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
66,68,NC,6/7/2010,0.037,Lockwood Follys River,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
67,68,NC,6/7/2010,0.081,Lockwood Follys River,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
68,68,NC,6/7/2010,0.044,Lockwood Follys River,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
69,68,NC,6/7/2010,6.42,Lockwood Follys River,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
70,69,NC,6/9/2010,0.025,New River,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
71,69,NC,6/9/2010,0.22875,New River,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
72,69,NC,6/9/2010,0.002,New River,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
73,69,NC,6/9/2010,0.008,New River,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
74,69,NC,6/9/2010,0.027,New River,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
75,69,NC,6/9/2010,0.0293375,New River,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
76,69,NC,6/9/2010,6.38,New River,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
77,70,FL,6/15/2010,0.037,Nassau Sound,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
78,70,FL,6/15/2010,0.0,Nassau Sound,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
79,70,FL,6/15/2010,0.009,Nassau Sound,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
80,70,FL,6/15/2010,0.037,Nassau Sound,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
81,70,FL,6/15/2010,0.64625,Nassau Sound,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
82,70,FL,6/15/2010,0.06214125,Nassau Sound,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
83,70,FL,6/15/2010,6.75,Nassau Sound,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
84,71,FL,6/14/2010,0.091,Saint Johns River,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
85,71,FL,6/14/2010,0.81125,Saint Johns River,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
86,71,FL,6/14/2010,0.061,Saint Johns River,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
87,71,FL,6/14/2010,0.074,Saint Johns River,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
88,71,FL,6/14/2010,0.096895,Saint Johns River,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
89,71,FL,6/14/2010,0.017,Saint Johns River,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
90,71,FL,6/14/2010,6.24,Saint Johns River,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
91,72,FL,6/16/2010,1.308,Saint Johns River,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
92,72,FL,6/16/2010,0.0,Saint Johns River,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
93,72,FL,6/16/2010,0.003,Saint Johns River,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
94,72,FL,6/16/2010,0.07672,Saint Johns River,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
95,72,FL,6/16/2010,0.009,Saint Johns River,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
96,72,FL,6/16/2010,0.009,Saint Johns River,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
97,72,FL,6/16/2010,51.14,Saint Johns River,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
98,73,FL,6/15/2010,0.036,Nassau River System,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
99,73,FL,6/15/2010,0.0,Nassau River System,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
100,73,FL,6/15/2010,0.036,Nassau River System,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
101,73,FL,6/15/2010,0.04489625,Nassau River System,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
102,73,FL,6/15/2010,0.015,Nassau River System,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
103,73,FL,6/15/2010,0.27375,Nassau River System,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
104,73,FL,6/15/2010,6.8,Nassau River System,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
105,74,FL,6/17/2010,0.032,Matanzas River,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
106,74,FL,6/17/2010,0.032,Matanzas River,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
107,74,FL,6/17/2010,0.0,Matanzas River,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
108,74,FL,6/17/2010,0.029,Matanzas River,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
109,74,FL,6/17/2010,0.28375,Matanzas River,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
110,74,FL,6/17/2010,0.03963875,Matanzas River,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
111,74,FL,6/17/2010,4.35,Matanzas River,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
112,109,FL,6/16/2010,0.041,Saint Johns River,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
113,109,FL,6/16/2010,0.069065,Saint Johns River,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
114,109,FL,6/16/2010,0.008,Saint Johns River,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
115,109,FL,6/16/2010,0.90375,Saint Johns River,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
116,109,FL,6/16/2010,0.007,Saint Johns River,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
117,109,FL,6/16/2010,0.015,Saint Johns River,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
118,109,FL,6/16/2010,6.87,Saint Johns River,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
119,110,FL,6/14/2010,0.655,Trout River,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
120,110,FL,6/14/2010,0.073,Trout River,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
121,110,FL,6/14/2010,0.097,Trout River,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
122,110,FL,6/14/2010,0.092,Trout River,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
123,110,FL,6/14/2010,0.005,Trout River,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
124,110,FL,6/14/2010,0.10470125,Trout River,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
125,110,FL,6/14/2010,7.77,Trout River,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
126,111,FL,6/14/2010,0.09,Trout River,Y,Southeast,Carolinian Province,Dissolved Inorganic Phosphate (mg P/L)
127,111,FL,6/14/2010,0.02,Trout River,Y,Southeast,Carolinian Province,Nitrate/Nitrite (mg N/L)
128,111,FL,6/14/2010,0.026,Trout River,Y,Southeast,Carolinian Province,Dissolved Inorganic Nitrogen (mg N/L)
129,111,FL,6/14/2010,0.15590375,Trout River,Y,Southeast,Carolinian Province,Total Phosphorus (mg P/L)
130,111,FL,6/14/2010,0.74625,Trout River,Y,Southeast,Carolinian Province,Total Nitrogen (mg N/L)
131,111,FL,6/14/2010,0.006,Trout River,Y,Southeast,Carolinian Province,Ammonia (mg N/L)
132,111,FL,6/14/2010,10.92,Trout River,Y,Southeast,Carolinian Province,Chlorophyll A (ug/L)
133,177,FL,6/17/2010,0.2625,Apalachee Bay,Y,Gulf,Louisianian Province,Total Nitrogen (mg N/L)
134,177,FL,6/17/2010,0.025,Apalachee Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Nitrogen (mg N/L)
135,177,FL,6/17/2010,0.00229875,Apalachee Bay,Y,Gulf,Louisianian Province,Total Phosphorus (mg P/L)
136,177,FL,6/17/2010,0.005,Apalachee Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Phosphate (mg P/L)
137,177,FL,6/17/2010,0.025,Apalachee Bay,Y,Gulf,Louisianian Province,Nitrate/Nitrite (mg N/L)
138,177,FL,6/17/2010,0.0,Apalachee Bay,Y,Gulf,Louisianian Province,Ammonia (mg N/L)
139,177,FL,6/17/2010,0.76,Apalachee Bay,Y,Gulf,Louisianian Province,Chlorophyll A (ug/L)
140,184,FL,6/17/2010,0.029,Apalachee Bay,Y,Gulf,Louisianian Province,Nitrate/Nitrite (mg N/L)
141,184,FL,6/17/2010,0.005,Apalachee Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Phosphate (mg P/L)
142,184,FL,6/17/2010,0.19625,Apalachee Bay,Y,Gulf,Louisianian Province,Total Nitrogen (mg N/L)
143,184,FL,6/17/2010,0.0,Apalachee Bay,Y,Gulf,Louisianian Province,Ammonia (mg N/L)
144,184,FL,6/17/2010,0.00278625,Apalachee Bay,Y,Gulf,Louisianian Province,Total Phosphorus (mg P/L)
145,184,FL,6/17/2010,0.029,Apalachee Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Nitrogen (mg N/L)
146,184,FL,6/17/2010,2.54,Apalachee Bay,Y,Gulf,Louisianian Province,Chlorophyll A (ug/L)
147,185,FL,6/16/2010,0.0,Apalachee Bay,Y,Gulf,Louisianian Province,Ammonia (mg N/L)
148,185,FL,6/16/2010,0.009,Apalachee Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Phosphate (mg P/L)
149,185,FL,6/16/2010,0.01277375,Apalachee Bay,Y,Gulf,Louisianian Province,Total Phosphorus (mg P/L)
150,185,FL,6/16/2010,0.026,Apalachee Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Nitrogen (mg N/L)
151,185,FL,6/16/2010,0.2875,Apalachee Bay,Y,Gulf,Louisianian Province,Total Nitrogen (mg N/L)
152,185,FL,6/16/2010,0.026,Apalachee Bay,Y,Gulf,Louisianian Province,Nitrate/Nitrite (mg N/L)
153,185,FL,6/16/2010,4.5,Apalachee Bay,Y,Gulf,Louisianian Province,Chlorophyll A (ug/L)
154,186,FL,6/15/2010,0.62,Ochlockonee River System,Y,Gulf,Louisianian Province,Total Nitrogen (mg N/L)
155,186,FL,6/15/2010,0.055835,Ochlockonee River System,Y,Gulf,Louisianian Province,Total Phosphorus (mg P/L)
156,186,FL,6/15/2010,0.056,Ochlockonee River System,Y,Gulf,Louisianian Province,Nitrate/Nitrite (mg N/L)
157,186,FL,6/15/2010,0.088,Ochlockonee River System,Y,Gulf,Louisianian Province,Dissolved Inorganic Nitrogen (mg N/L)
158,186,FL,6/15/2010,0.022,Ochlockonee River System,Y,Gulf,Louisianian Province,Dissolved Inorganic Phosphate (mg P/L)
159,186,FL,6/15/2010,0.032,Ochlockonee River System,Y,Gulf,Louisianian Province,Ammonia (mg N/L)
160,186,FL,6/15/2010,9.91,Ochlockonee River System,Y,Gulf,Louisianian Province,Chlorophyll A (ug/L)
161,187,LA,6/16/2010,0.014,Lake Palourde #1,Y,Gulf,Louisianian Province,Nitrate/Nitrite (mg N/L)
162,187,LA,6/16/2010,0.016,Lake Palourde #1,Y,Gulf,Louisianian Province,Dissolved Inorganic Nitrogen (mg N/L)
163,187,LA,6/16/2010,0.016,Lake Palourde #1,Y,Gulf,Louisianian Province,Dissolved Inorganic Phosphate (mg P/L)
164,187,LA,6/16/2010,0.08135875,Lake Palourde #1,Y,Gulf,Louisianian Province,Total Phosphorus (mg P/L)
165,187,LA,6/16/2010,0.002,Lake Palourde #1,Y,Gulf,Louisianian Province,Ammonia (mg N/L)
166,187,LA,6/16/2010,0.9325,Lake Palourde #1,Y,Gulf,Louisianian Province,Total Nitrogen (mg N/L)
167,187,LA,6/16/2010,22.39,Lake Palourde #1,Y,Gulf,Louisianian Province,Chlorophyll A (ug/L)
168,188,LA,6/15/2010,0.023,Hackberry Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Phosphate (mg P/L)
169,188,LA,6/15/2010,0.002,Hackberry Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Nitrogen (mg N/L)
170,188,LA,6/15/2010,0.002,Hackberry Bay,Y,Gulf,Louisianian Province,Ammonia (mg N/L)
171,188,LA,6/15/2010,0.07697375,Hackberry Bay,Y,Gulf,Louisianian Province,Total Phosphorus (mg P/L)
172,188,LA,6/15/2010,0.6675,Hackberry Bay,Y,Gulf,Louisianian Province,Total Nitrogen (mg N/L)
173,188,LA,6/15/2010,0.0,Hackberry Bay,Y,Gulf,Louisianian Province,Nitrate/Nitrite (mg N/L)
174,188,LA,6/15/2010,18.73,Hackberry Bay,Y,Gulf,Louisianian Province,Chlorophyll A (ug/L)
175,189,LA,6/15/2010,0.016,Bay Desespere,Y,Gulf,Louisianian Province,Dissolved Inorganic Phosphate (mg P/L)
176,189,LA,6/15/2010,0.018,Bay Desespere,Y,Gulf,Louisianian Province,Dissolved Inorganic Nitrogen (mg N/L)
177,189,LA,6/15/2010,0.06983125,Bay Desespere,Y,Gulf,Louisianian Province,Total Phosphorus (mg P/L)
178,189,LA,6/15/2010,0.004,Bay Desespere,Y,Gulf,Louisianian Province,Ammonia (mg N/L)
179,189,LA,6/15/2010,0.92,Bay Desespere,Y,Gulf,Louisianian Province,Total Nitrogen (mg N/L)
180,189,LA,6/15/2010,0.014,Bay Desespere,Y,Gulf,Louisianian Province,Nitrate/Nitrite (mg N/L)
181,189,LA,6/15/2010,24.75,Bay Desespere,Y,Gulf,Louisianian Province,Chlorophyll A (ug/L)
182,190,LA,6/14/2010,0.013,Lake Salvador,Y,Gulf,Louisianian Province,Dissolved Inorganic Phosphate (mg P/L)
183,190,LA,6/14/2010,0.48,Lake Salvador,Y,Gulf,Louisianian Province,Total Nitrogen (mg N/L)
184,190,LA,6/14/2010,0.002,Lake Salvador,Y,Gulf,Louisianian Province,Dissolved Inorganic Nitrogen (mg N/L)
185,190,LA,6/14/2010,0.002,Lake Salvador,Y,Gulf,Louisianian Province,Ammonia (mg N/L)
186,190,LA,6/14/2010,0.0,Lake Salvador,Y,Gulf,Louisianian Province,Nitrate/Nitrite (mg N/L)
187,190,LA,6/14/2010,0.03654375,Lake Salvador,Y,Gulf,Louisianian Province,Total Phosphorus (mg P/L)
188,190,LA,6/14/2010,6.62,Lake Salvador,Y,Gulf,Louisianian Province,Chlorophyll A (ug/L)
189,191,FL,6/2/2010,0.02,Old Tampa Bay,Y,Gulf,West Indian Province,Nitrate/Nitrite (mg N/L)
190,191,FL,6/2/2010,0.068,Old Tampa Bay,Y,Gulf,West Indian Province,Dissolved Inorganic Phosphate (mg P/L)
191,191,FL,6/2/2010,0.024,Old Tampa Bay,Y,Gulf,West Indian Province,Dissolved Inorganic Nitrogen (mg N/L)
192,191,FL,6/2/2010,0.004,Old Tampa Bay,Y,Gulf,West Indian Province,Ammonia (mg N/L)
193,191,FL,6/2/2010,0.0835825,Old Tampa Bay,Y,Gulf,West Indian Province,Total Phosphorus (mg P/L)
194,191,FL,6/2/2010,0.425,Old Tampa Bay,Y,Gulf,West Indian Province,Total Nitrogen (mg N/L)
195,191,FL,6/2/2010,3.87,Old Tampa Bay,Y,Gulf,West Indian Province,Chlorophyll A (ug/L)
196,193,CA,7/1/2010,0.0,Mission Bay,Y,West,Californian Province,Ammonia (mg N/L)
197,193,CA,7/1/2010,0.025,Mission Bay,Y,West,Californian Province,Dissolved Inorganic Phosphate (mg P/L)
198,193,CA,7/1/2010,0.04718875,Mission Bay,Y,West,Californian Province,Total Phosphorus (mg P/L)
199,193,CA,7/1/2010,0.26125,Mission Bay,Y,West,Californian Province,Total Nitrogen (mg N/L)
200,193,CA,7/1/2010,0.013,Mission Bay,Y,West,Californian Province,Nitrate/Nitrite (mg N/L)
201,193,CA,7/1/2010,0.013,Mission Bay,Y,West,Californian Province,Dissolved Inorganic Nitrogen (mg N/L)
202,193,CA,7/1/2010,2.94,Mission Bay,Y,West,Californian Province,Chlorophyll A (ug/L)
203,194,FL,6/15/2010,0.027,Ochlockonee Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Nitrogen (mg N/L)
204,194,FL,6/15/2010,0.027,Ochlockonee Bay,Y,Gulf,Louisianian Province,Nitrate/Nitrite (mg N/L)
205,194,FL,6/15/2010,0.49625,Ochlockonee Bay,Y,Gulf,Louisianian Province,Total Nitrogen (mg N/L)
206,194,FL,6/15/2010,0.05009625,Ochlockonee Bay,Y,Gulf,Louisianian Province,Total Phosphorus (mg P/L)
207,194,FL,6/15/2010,0.0,Ochlockonee Bay,Y,Gulf,Louisianian Province,Ammonia (mg N/L)
208,194,FL,6/15/2010,0.009,Ochlockonee Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Phosphate (mg P/L)
209,195,FL,6/16/2010,0.2975,Apalachee Bay,Y,Gulf,Louisianian Province,Total Nitrogen (mg N/L)
210,195,FL,6/16/2010,0.025,Apalachee Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Nitrogen (mg N/L)
211,195,FL,6/16/2010,0.006,Apalachee Bay,Y,Gulf,Louisianian Province,Dissolved Inorganic Phosphate (mg P/L)
212,195,FL,6/16/2010,0.025,Apalachee Bay,Y,Gulf,Louisianian Province,Nitrate/Nitrite (mg N/L)
213,195,FL,6/16/2010,0.0,Apalachee Bay,Y,Gulf,Louisianian Province,Ammonia (mg N/L)
214,195,FL,6/16/2010,0.01007875,Apalachee Bay,Y,Gulf,Louisianian Province,Total Phosphorus (mg P/L)
215,195,FL,6/16/2010,2.49,Apalachee Bay,Y,Gulf,Louisianian Province,Chlorophyll A (ug/L)
216,196,MI,6/21/2010,0.235,Lake Michigan,Y,Great Lakes,Great Lakes Province,Nitrate/Nitrite (mg N/L)
217,196,MI,6/21/2010,0.0,Lake Michigan,Y,Great Lakes,Great Lakes Province,Total Phosphorus (mg P/L)
218,196,MI,6/21/2010,0.006,Lake Michigan,Y,Great Lakes,Great Lakes Province,Dissolved Inorganic Phosphate (mg P/L)
219,196,MI,6/21/2010,0.243,Lake Michigan,Y,Great Lakes,Great Lakes Province,Dissolved Inorganic Nitrogen (mg N/L)
220,196,MI,6/21/2010,0.3525,Lake Michigan,Y,Great Lakes,Great Lakes Province,Total Nitrogen (mg N/L)
221,196,MI,6/21/2010,0.008,Lake Michigan,Y,Great Lakes,Great Lakes Province,Ammonia (mg N/L)
222,196,MI,6/21/2010,0.59,Lake Michigan,Y,Great Lakes,Great Lakes Province,Chlorophyll A (ug/L)
223,197,MI,6/22/2010,0.006,Lake Michigan,Y,Great Lakes,Great Lakes Province,Dissolved Inorganic Phosphate (mg P/L)
224,197,MI,6/22/2010,0.008,Lake Michigan,Y,Great Lakes,Great Lakes Province,Ammonia (mg N/L)
225,197,MI,6/22/2010,0.353125,Lake Michigan,Y,Great Lakes,Great Lakes Province,Total Nitrogen (mg N/L)
226,197,MI,6/22/2010,0.0,Lake Michigan,Y,Great Lakes,Great Lakes Province,Total Phosphorus (mg P/L)
227,197,MI,6/22/2010,0.269,Lake Michigan,Y,Great Lakes,Great Lakes Province,Dissolved Inorganic Nitrogen (mg N/L)
228,197,MI,6/22/2010,0.261,Lake Michigan,Y,Great Lakes,Great Lakes Province,Nitrate/Nitrite (mg N/L)
229,197,MI,6/22/2010,0.47,Lake Michigan,Y,Great Lakes,Great Lakes Province,Chlorophyll A (ug/L)
230,198,MI,6/17/2010,0.39875,Lake Michigan,Y,Great Lakes,Great Lakes Province,Total Nitrogen (mg N/L)
231,198,MI,6/17/2010,0.231,Lake Michigan,Y,Great Lakes,Great Lakes Province,Nitrate/Nitrite (mg N/L)
