UID,State,Date Collected,Waterbody,Region,Province,SITESAMP,Ammonia (mg N/L),Chlorophyll A (ug/L),Dissolved Inorganic Nitrogen (mg N/L),Dissolved Inorganic Phosphate (mg P/L),Dissolved Silica (mg/L),Nitrate (mg N/L),Nitrate/Nitrite (mg N/L),Nitrite (mg N/L),Nitrogen Particulate (mg N/L),Phosphorus Particulate (mg P/L),Total Dissolved Nitrogen (mg N/L),Total Dissolved Phosphorus (mg P/L),Total Kjeldahl Nitrogen (mg N/L),Total Nitrogen (mg N/L),Total Phosphorus (mg P/L)
764,MS,2010-08-23,Chandeleur Sound,Gulf,Louisianian Province,Y,0.009,2.13,0.022,0.012,,,0.013,,,,,,,0.3325,0.03049875
765,LA,2010-08-10,Chandeleur Sound,Gulf,Louisianian Province,Y,0.005,29.66,0.016,0.059,,,0.011,,,,,,,0.99375,0.14788375
766,LA,2010-08-10,Chandeleur Sound,Gulf,Louisianian Province,Y,0.005,35.8,0.01,0.064,,,0.005,,,,,,,1.01625,0.15041875
767,LA,2010-08-01,Chandeleur Sound,Gulf,Louisianian Province,Y,0.005,10.68,0.009,0.044,,,0.004,,,,,,,0.586875,0.09738875
768,TX,2010-09-08,Copano Bay,Gulf,Louisianian Province,Y,0.011,11.08,0.029,0.09,,,0.018,,,,,,,0.76125,0.16671125
769,TX,2010-09-08,Copano Bay,Gulf,Louisianian Province,Y,0.026,8.96,0.067,0.09,,,0.041,,,,,,,0.765,0.16121375
770,TX,2010-09-06,Aransas Bay,Gulf,Louisianian Province,Y,0.049,4.35,0.079,0.07,,,0.03,,,,,,,0.64375,0.12324375
771,TX,2010-09-06,Aransas Bay,Gulf,Louisianian Province,Y,0.005,12.15,0.02,0.041,,,0.015,,,,,,,0.53875,0.066025
774,TX,2010-08-02,Bolivar Roads,Gulf,Louisianian Province,Y,0.005,13.65,0.015,0.055,,,0.01,,,,,,,0.565625,0.11170625
775,TX,2010-08-04,Galveston Bay,Gulf,Louisianian Province,Y,0.009,17.44,0.013,0.101,,,0.004,,,,,,,0.655,0.166474375
776,TX,2010-07-29,Galveston Bay,Gulf,Louisianian Province,Y,0.006,14.53,0.083,0.133,,,0.077,,,,,,,0.80875,0.201905
777,TX,2010-07-29,Galveston Bay,Gulf,Louisianian Province,Y,0.004,18.39,0.023,0.114,,,0.019,,,,,,,0.67,0.16318
778,TX,2010-07-28,Galveston Bay,Gulf,Louisianian Province,Y,0.057,7.47504,0.091,0.096,,,0.034,,,,,,,0.67625,0.1431425
779,TX,2010-08-03,West Bay,Gulf,Louisianian Province,Y,0.012,11.69,0.024,0.037,,,0.012,,,,,,,0.628125,0.08729875
780,TX,2010-08-04,East Bay,Gulf,Louisianian Province,Y,0.005,11.83,0.009,0.063,,,0.004,,,,,,,0.6775,0.123991875
781,TX,2010-08-02,Galveston Bay,Gulf,Louisianian Province,Y,0.011,11.48,0.069,0.054,,,0.058,,,,,,,0.616875,0.11125875
782,TX,2010-07-27,Galveston Bay,Gulf,Louisianian Province,Y,0.093,11.17,0.112,0.095,,,0.019,,,,,,,0.73125,0.14250375
783,TX,2010-08-10,Christmas Bay,Gulf,Louisianian Province,Y,0.009,14.58,0.026,0.012,,,0.017,,,,,,,0.5125,0.0838125
784,TX,2010-08-17,Matagorda Bay,Gulf,Louisianian Province,Y,0.008,18.99,0.017,0.144,,,0.009,,,,,,,0.7675,0.23909125
785,TX,2010-08-16,East Matagorda Bay,Gulf,Louisianian Province,Y,0.016,8.59,0.037,0.06,,,0.021,,,,,,,0.46875,0.11009125
786,TX,2010-08-18,Tres Palacios Bay,Gulf,Louisianian Province,Y,0.001,24.77,0.009,0.095,,,0.008,,,,,,,0.7875,0.167255
787,TX,2010-08-17,Matagorda Bay,Gulf,Louisianian Province,Y,0.011,19.16,0.022,0.063,,,0.011,,,,,,,0.73,0.15778125
788,TX,2010-08-18,Matagorda Bay,Gulf,Louisianian Province,Y,0.002,14.46,0.013,0.05,,,0.011,,,,,,,0.585,0.0915525
789,LA,2010-08-10,Dixon Bay,Gulf,Louisianian Province,Y,0.001,3.23,1.681,0.167,,,1.68,,,,,,,1.898,0.24786625
790,LA,2010-08-05,East Bay (Miss),Gulf,Louisianian Province,Y,0.02,3.78,2.105,0.166,,,2.085,,,,,,,2.26,0.234133125
792,TX,2010-09-09,Ayres Bay,Gulf,Louisianian Province,Y,0.114,5.73,0.181,0.106,,,0.067,,,,,,,0.7925,0.17628
793,TX,2010-09-01,San Antonio Bay,Gulf,Louisianian Province,Y,0.003,14.95,0.003,0.12,,,0.0,,,,,,,0.6525,0.15403875
794,TX,2010-08-31,Espiritu Santo Bay,Gulf,Louisianian Province,Y,0.006,5.93,0.016,0.022,,,0.01,,,,,,,0.3975,0.0481025
795,TX,2010-09-01,San Antonio Bay,Gulf,Louisianian Province,Y,0.005,11.4,0.005,0.079,,,0.0,,,,,,,0.65125,0.119595
796,TX,2010-09-09,San Antonio Bay,Gulf,Louisianian Province,Y,0.092,9.16,0.14,0.107,,,0.048,,,,,,,0.67,0.13100125
797,TX,2010-09-01,San Antonio Bay,Gulf,Louisianian Province,Y,0.002,10.17,0.002,0.105,,,0.0,,,,,,,0.63875,0.140335
798,TX,2010-08-30,Espiritu Santo Bay,Gulf,Louisianian Province,Y,0.006,5.34,0.016,0.03,,,0.01,,,,,,,0.40625,0.053975
799,TX,2010-08-30,Barroom Bay,Gulf,Louisianian Province,Y,0.007,4.95,0.017,0.015,,,0.01,,,,,,,0.375,0.035935
800,LA,2010-07-15,Lake Borgne,Gulf,Louisianian Province,Y,0.003,7.47,0.003,0.068,,,0.0,,,,,,,0.38625,0.0917025
801,MS,2010-08-10,Mississippi Sound,Gulf,Louisianian Province,Y,0.009,29.79,0.027,0.083,,,0.018,,,,,,,0.69875,0.14711125
802,MS,2010-07-28,Mississippi Sound,Gulf,Louisianian Province,Y,0.003,7.96,0.011,0.02,,,0.008,,,,,,,0.48125,0.056825
803,LA,2010-08-02,Mississippi Sound,Gulf,Louisianian Province,Y,0.004,7.98,0.008,0.058,,,0.004,,,,,,,0.544375,0.09659125
804,MS,2010-08-10,Mississippi Sound,Gulf,Louisianian Province,Y,0.007,13.37,0.024,0.043,,,0.017,,,,,,,0.56125,0.08965875
805,LA,2010-08-04,Lake Borgne,Gulf,Louisianian Province,Y,0.005,16.06,0.009,0.061,,,0.004,,,,,,,0.5025,0.094749375
806,LA,2010-08-04,Mississippi Sound,Gulf,Louisianian Province,Y,0.012,14.19725714,0.016,0.06,,,0.004,,,,,,,0.525,0.095391875
807,MS,2010-08-02,Mississippi Sound,Gulf,Louisianian Province,Y,0.005,9.45,0.017,0.018,,,0.012,,,,,,,0.484375,0.05947375
808,MS,2010-08-24,Mississippi Sound,Gulf,Louisianian Province,Y,0.008,8.94,0.019,0.034,,,0.011,,,,,,,0.42875,0.07335625
809,MS,2010-07-29,Back Bay Biloxi/Bernard Bayou,Gulf,Louisianian Province,Y,0.004,22.51,0.004,0.022,,,0.0,,,,,,,0.72875,0.087415
810,LA,2010-08-02,Mississippi Sound,Gulf,Louisianian Province,Y,0.005,14.46,0.014,0.06,,,0.009,,,,,,,0.699375,0.128055
811,MS,2010-07-29,Mississippi Sound,Gulf,Louisianian Province,Y,0.005,17.07,0.009,0.024,,,0.004,,,,,,,0.6225,0.0957775
812,MS,2010-08-09,Mississippi Sound,Gulf,Louisianian Province,Y,0.008,4.58,0.017,0.052,,,0.009,,,,,,,0.41,0.045405
814,FL,2010-09-01,Deadman Bay,Gulf,Louisianian Province,Y,0.02,8.2,0.032,0.006,,,0.012,,,,,,,0.77875,0.02732625
815,FL,2010-08-13,Homosassa Bay,Gulf,Louisianian Province,Y,0.011,2.14,0.026,0.009,,,0.015,,,,,,,0.47375,0.0188475
816,TX,2010-07-20,Sabine Lake,Gulf,Louisianian Province,Y,0.002,11.18,0.002,0.024,,,0.0,,,,,,,0.52,0.052765
817,FL,2010-08-12,Cedar Keys,Gulf,Louisianian Province,Y,0.075,62.72,0.09,0.016,,,0.015,,,,,,,0.9925,0.11943
818,MS,2010-08-04,Grand Bay #2,Gulf,Louisianian Province,Y,0.006,17.67,0.019,0.006,,,0.013,,,,,,,0.6275,0.073871875
819,VA,2010-08-05,Broad/Linkhorn Bay,Northeast,Virginian Province,Y,0.01,20.4,0.018,0.012,3.6,0.008,0.008,0.0,0.619,0.0336,0.236,0.022,,0.855,0.0556
820,VA,2010-07-27,Elizabeth River,Northeast,Virginian Province,Y,0.008,14.6,0.154,0.06,1.6,0.024,0.146,0.122,0.277,0.0364,0.36,0.07,,0.637,0.1064
822,VA,2010-07-27,Lower James River,Northeast,Virginian Province,Y,0.008,13.9,0.021,0.032,1.4,0.007,0.013,0.006,0.24,0.0649,0.251,0.047,,0.491,0.1119
823,DE,2010-07-19,Delaware Bay,Northeast,Virginian Province,Y,0.214,10.51,0.651,0.073,,,0.437,,,,,,,1.11625,0.1554825
824,DE,2010-07-21,Delaware Bay,Northeast,Virginian Province,Y,0.054,15.04,0.411,0.052,,,0.357,,,,,,,0.835,0.10148625
825,DE,2010-08-09,Christina River,Northeast,Virginian Province,Y,0.012,14.89,1.782,0.06,,,1.77,,,,,,,2.095,0.12754125
826,DE,2010-07-27,Delaware Bay,Northeast,Virginian Province,Y,0.005,7.72,0.03,0.019,,,0.025,,,,,,,0.38125,0.0483225
827,NY,2010-07-28,Long Island Sound,Northeast,Virginian Province,Y,0.006,11.0,0.075,0.085,,0.043,0.069,0.026,,,,,,0.427,0.114
828,NY,2010-08-27,Long Island Sound,Northeast,Virginian Province,Y,0.0,3.9,0.02,0.046,,0.009,0.02,0.011,,,,,,0.237,0.068
829,NY,2010-09-02,Long Island Sound,Northeast,Virginian Province,Y,0.0,1.4,0.0,0.013,,0.0,0.0,0.0,,,,,,0.16,0.036
830,NY,2010-07-29,Huntington Bay,Northeast,Virginian Province,Y,0.0,4.1,0.005,0.05,,0.005,0.005,0.0,,,,,,0.452,0.098
831,NY,2010-08-27,Long Island Sound,Northeast,Virginian Province,Y,0.0,5.0,0.059,0.063,,0.04,0.059,0.019,,,,,,0.319,0.071
832,CT,2010-07-28,Long Island Sound,Northeast,Virginian Province,Y,0.0,4.2,0.004,0.036,,0.004,0.004,0.0,,,,,,0.267,0.065
833,NY,2010-07-28,Hudson River,Northeast,Virginian Province,Y,0.018,11.53,0.495,0.042,,,0.477,,,,,,,0.775,0.07632375
834,NY,2010-07-26,Jamaica Bay,Northeast,Virginian Province,Y,0.165,34.94,0.388,0.187,,,0.223,,,,,,,1.13875,0.28765375
842,NY,2010-07-29,Hudson River,Northeast,Virginian Province,Y,0.321,5.77,0.628,0.108,,,0.307,,,,,,,0.92,0.13060125
844,NY,2010-07-27,Lower Ny/Nj Bay,Northeast,Virginian Province,Y,0.164,10.55,0.423,0.095,,,0.259,,,,,,,0.87375,0.12806375
847,NJ,2010-07-27,Lower Ny/Nj Bay,Northeast,Virginian Province,Y,0.008,65.99,0.023,0.027,,,0.015,,,,,,,0.9025,0.16091875
848,NY,2010-07-28,Hudson River,Northeast,Virginian Province,Y,0.041,7.23,0.13,0.014,,,0.089,,,,,,,0.4875,0.04890625
849,NJ,2010-07-26,Jamaica Bay,Northeast,Virginian Province,Y,0.202,43.53,0.36,0.215,,,0.158,,,,,,,1.185,0.374458
852,AL,2010-07-21,Perdido Bay,Gulf,Louisianian Province,Y,0.001,11.07,0.001,0.015,,,0.0,,,,,,,0.53125,0.021445
853,NC,2010-07-12,Albermarle Sound,Southeast,Carolinian Province,Y,0.008,20.79,0.008,0.007,,,0.0,,,,,,,0.10125,0.01037625
855,MA,2010-07-16,Weymouth Fore River/Town River,Northeast,Acadian Province,Y,0.017,4.07,0.028,0.025,,,0.011,,,,,,,0.34375,0.062955
860,NY,2010-07-17,Gardiners Bay,Northeast,Virginian Province,Y,0.014,3.18,0.025,0.029,,,0.011,,,,,,,0.26625,0.04279
862,NY,2010-07-20,Gardiners Bay,Northeast,Virginian Province,Y,0.002,3.26,0.023,0.022,,,0.021,,,,,,,0.24125,0.0349725
863,NY,2010-07-15,Noyack Bay,Northeast,Virginian Province,Y,0.014,4.1,0.023,0.036,,,0.009,,,,,,,0.27125,0.05416375
864,NY,2010-07-13,Great Peconic Bay,Northeast,Virginian Province,Y,0.0,5.63,0.008,0.015,,,0.008,,,,,,,0.42375,0.0598825
865,NY,2010-07-18,Gardiners Bay,Northeast,Virginian Province,Y,0.01,2.2,0.034,0.021,,,0.024,,,,,,,0.235,0.0303775
866,NY,2010-07-14,Little Peconic Bay,Northeast,Virginian Province,Y,0.004,3.98,0.014,0.033,,,0.01,,,,,,,0.245625,0.03835
867,NY,2010-07-18,Gardiners Bay,Northeast,Virginian Province,Y,0.006,2.19,0.026,0.021,,,0.02,,,,,,,0.2325,0.03190375
868,NY,2010-07-16,Little Peconic Bay,Northeast,Virginian Province,Y,0.003,5.4,0.009,0.032,,,0.006,,,,,,,0.27875,0.0502075
869,NY,2010-07-21,Lake Montauk,Northeast,Virginian Province,Y,0.0,3.65,0.129,0.015,,,0.129,,,,,,,0.2725,0.03628
870,NY,2010-07-19,Napeague Bay,Northeast,Virginian Province,Y,0.002,2.81,0.024,0.022,,,0.022,,,,,,,0.23875,0.0316225
871,NY,2010-07-21,Napeague Bay,Northeast,Virginian Province,Y,0.0,1.8,0.128,0.018,,,0.128,,,,,,,0.24125,0.0303875
872,NY,2010-07-17,Block Island Sound,Northeast,Virginian Province,Y,0.023,1.95,0.035,0.02,,,0.012,,,,,,,0.2275,0.03293625
873,NY,2010-07-23,Great South Bay,Northeast,Virginian Province,Y,0.001,14.61,0.114,0.011,,,0.113,,,,,,,0.79875,0.0890025
875,DE,2010-08-05,Little Assawoman Bay,Northeast,Virginian Province,Y,0.011,13.59,0.027,0.015,,,0.016,,,,,,,0.98125,0.07222
876,NY,2010-07-24,Great South Bay,Northeast,Virginian Province,Y,0.005,18.33,0.103,0.015,,,0.098,,,,,,,0.92125,0.09066375
877,DE,2010-08-16,Indian River Bay,Northeast,Virginian Province,Y,0.101,20.01,0.117,0.022,,,0.016,,,,,,,0.78375,0.122325
879,FL,2010-08-11,Barnes Sound,Gulf,West Indian Province,Y,0.103,1.1,0.126,0.005,,,0.023,,,,,,,0.805,0.002875
880,FL,2010-08-12,Miami River,Southeast,West Indian Province,Y,0.393,3.09,0.504,0.019,,,0.111,,,,,,,1.295,0.02110625
882,FL,2010-08-06,Florida Bay,Gulf,West Indian Province,Y,0.086,1.64,0.113,0.026,,,0.027,,,,,,,1.25,0.01629625
883,FL,2010-08-04,Florida Bay,Gulf,West Indian Province,Y,0.017,0.41,0.039,0.004,,,0.022,,,,,,,0.325,0.003963125
884,FL,2010-08-05,Florida Bay,Gulf,West Indian Province,Y,0.033,,0.057,0.01,,,0.024,,,,,,,0.50125,0.00606625
885,FL,2010-08-04,Florida Bay,Gulf,West Indian Province,Y,0.028,0.46,0.053,0.003,,,0.025,,,,,,,0.3725,0.005250625
886,FL,2010-08-05,Torch Key Mangroves,Gulf,West Indian Province,Y,0.02,0.42,0.049,0.006,,,0.029,,,,,,,0.3825,0.00456875
887,FL,2010-08-05,Cudjoe Basin,Gulf,West Indian Province,Y,0.014,1.15,0.037,0.006,,,0.023,,,,,,,0.395,0.0183375
888,FL,2010-08-04,Big Spanish Channel,Gulf,West Indian Province,Y,0.025,0.345853571,0.049,0.003,,,0.024,,,,,,,0.32875,0.003195625
889,ME,2010-07-22,Penobscot River,Northeast,Acadian Province,Y,0.025,2.39,0.171,0.028,,,0.146,,,,,,,0.31625,0.03344125
890,ME,2010-07-19,West Penobscot Bay,Northeast,Acadian Province,Y,0.0,4.184622222,0.022,0.009,,,0.022,,,,,,,0.205,0.01944125
891,ME,2010-07-22,Merchant Row,Northeast,Acadian Province,Y,0.0,2.12,0.147,0.009,,,0.147,,,,,,,0.2275,0.0218025
892,CA,2010-07-26,Morro Bay,West,Californian Province,Y,0.026,1.5,0.107,0.035,,,0.081,,,,,,,0.4275,0.05238125
893,WA,2010-07-26,Possession Sound,West,Columbian Province,Y,0.002,1.25,0.034,0.024,,,0.032,,,,,,,0.23875,0.040385
894,WA,2010-07-27,Port Gamble Bay,West,Columbian Province,Y,0.029,4.67,0.061,0.033,,,0.032,,,,,,,0.34375,0.0574275
896,WA,2010-08-10,Grays Harbor,West,Columbian Province,Y,0.026,6.46,0.055,0.051,,,0.029,,,,,,,0.3725,0.07653
897,CA,2010-07-29,Tomales Bay,West,Columbian Province,Y,0.005,10.3,0.019,0.012,,,0.014,,,,,,,0.35125,0.04599
899,CA,2010-08-10,Arcata Bay,West,Columbian Province,Y,0.038,2.148,0.074,0.07,,,0.036,,,,,,,0.37375,0.0875275
900,LA,2010-07-29,East Cote Blanche Bay,Gulf,Louisianian Province,Y,0.157,20.26,0.812,0.541,,,0.655,,,,,,,1.27,0.13362375
901,LA,2010-07-22,Lake Salvador,Gulf,Louisianian Province,Y,0.065,15.73,1.143,0.121,,,1.078,,,,,,,1.788,0.17133625
902,TX,2010-08-18,Matagorda Bay,Gulf,Louisianian Province,Y,0.003,11.78,0.014,0.046,,,0.011,,,,,,,0.5625,0.08671875
903,LA,2010-08-10,Scott Bay,Gulf,Louisianian Province,Y,0.005,6.28,1.527,0.158,,,1.522,,,,,,,2.263,0.235625
904,LA,2010-08-15,East Bay (Miss),Gulf,Louisianian Province,Y,0.037,2.48,1.567,0.172,,,1.53,,,,,,,1.9,0.2617775
905,TX,2010-08-30,Espiritu Santo Bay,Gulf,Louisianian Province,Y,0.008,4.89,0.019,0.028,,,0.011,,,,,,,0.4125,0.0602225
906,TX,2010-08-31,Espiritu Santo Bay,Gulf,Louisianian Province,Y,0.006,6.1,0.018,0.016,,,0.012,,,,,,,0.28625,0.04124375
907,NJ,2010-08-05,Great Bay,Northeast,Virginian Province,Y,0.058,7.92,0.076,0.051,,,0.018,,,,,,,0.4875,0.088261875
947,OH,2010-08-27,Lake Erie,Great Lakes,Great Lakes Province,Y,0.003,7.16,0.003,0.001,,,0.0,,,,,,,0.29875,0.01603875
975,WI,2010-07-26,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.0,31.7,0.0,0.014,,,0.0,,,,,,1.28,1.28,0.13
976,WI,2010-07-27,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.0,0.34,0.178,0.0,,,0.178,,,,,,0.0,0.178,0.0028
977,MI,2010-07-28,Lake Superior,Great Lakes,Great Lakes Province,Y,0.004,0.89,0.317,0.004,,,0.313,,,,,,,0.4325,0.0
984,NY,2010-06-20,Lake Ontario,Great Lakes,Great Lakes Province,Y,0.009,0.79,0.257,0.004,,,0.248,,,,,,,0.40625,0.0
985,NY,2010-06-18,Lake Ontario,Great Lakes,Great Lakes Province,Y,0.012,0.95,0.28,0.004,,,0.268,,,,,,,0.42125,0.0
986,NY,2010-06-20,Lake Ontario,Great Lakes,Great Lakes Province,Y,0.005,1.82,0.27,0.003,,,0.265,,,,,,,0.43125,0.00240875
987,NY,2010-06-22,Lake Ontario,Great Lakes,Great Lakes Province,Y,0.006,0.76,0.22,0.003,,,0.214,,,,,,,0.371875,0.002248125
988,NY,2010-06-19,Lake Ontario,Great Lakes,Great Lakes Province,Y,0.006,1.15,0.258,0.004,,,0.252,,,,,,,0.41125,0.0023525
989,NY,2010-06-25,Lake Ontario,Great Lakes,Great Lakes Province,Y,0.006,2.19,0.235,0.005,,,0.229,,,,,,,0.443375,0.006725375
990,NY,2010-06-18,Lake Ontario,Great Lakes,Great Lakes Province,Y,0.01,0.98,0.275,0.004,,,0.265,,,,,,,0.4375,0.0
991,NY,2010-06-15,Lake Ontario,Great Lakes,Great Lakes Province,Y,0.01,4.18,0.286,0.01,,,0.276,,,,,,,0.5725,0.02614875
992,OH,2010-08-25,Lake Erie,Great Lakes,Great Lakes Province,Y,0.005,6.99,0.067,0.0,,,0.062,,,,,,,0.3825,0.01197125
993,NY,2010-07-12,Lake Erie,Great Lakes,Great Lakes Province,Y,0.007,3.57,0.16,0.004,,,0.153,,,,,,,0.4025,0.0070625
994,NY,2010-07-22,Lake Erie,Great Lakes,Great Lakes Province,Y,0.006,1.8,0.117,0.002,,,0.111,,,,,,,0.33125,0.004645
995,NY,2010-07-18,Lake Erie,Great Lakes,Great Lakes Province,Y,0.009,2.17,0.145,0.003,,,0.136,,,,,,,0.37875,0.01150625
996,OH,2010-07-26,Lake Erie,Great Lakes,Great Lakes Province,Y,0.015,11.52,0.168,0.004,,,0.153,,,,,,,0.51875,0.0141425
997,OH,2010-08-04,Lake Erie,Great Lakes,Great Lakes Province,Y,0.002,3.24,0.054,0.001,,,0.052,,,,,,,0.315,0.007103125
998,MI,2010-07-15,Lake Huron,Great Lakes,Great Lakes Province,Y,0.007,0.74,0.198,0.004,,,0.191,,,,,,,0.35625,0.0
999,NY,2010-07-15,Lake Erie,Great Lakes,Great Lakes Province,Y,0.003,1.29,0.157,0.003,,,0.154,,,,,,,0.36375,0.0053425
1000,OH,2010-08-25,Lake Erie,Great Lakes,Great Lakes Province,Y,0.03,4.36,0.122,0.001,,,0.092,,,,,,,0.42125,0.0217425
1001,OH,2010-08-19,Lake Erie,Great Lakes,Great Lakes Province,Y,0.001,4.1,0.048,0.001,,,0.047,,,,,,,0.295,0.0070175
1002,OH,2010-08-12,Lake Erie,Great Lakes,Great Lakes Province,Y,0.011,4.82,0.042,0.0,,,0.031,,,,,,,0.36125,0.00813625
1003,NY,2010-07-15,Lake Erie,Great Lakes,Great Lakes Province,Y,0.007,1.84,0.152,0.003,,,0.145,,,,,,,0.36125,0.0041875
1004,OH,2010-09-01,Lake Erie,Great Lakes,Great Lakes Province,Y,0.009,19.57,0.236,0.002,,,0.227,,,,,,,0.7825,0.03611125
1005,OH,2010-07-27,Lake Erie,Great Lakes,Great Lakes Province,Y,0.007,6.22,0.11,0.003,,,0.103,,,,,,,0.46625,0.01276125
1006,OH,2010-08-02,Lake Erie,Great Lakes,Great Lakes Province,Y,0.005,2.98,0.089,0.002,,,0.084,,,,,,,0.305625,0.00492125
1011,OH,2010-08-10,Lake Erie,Great Lakes,Great Lakes Province,Y,0.003,7.040666667,0.008,0.012,,,0.005,,,,,,,0.4875,0.03604125
1012,MI,2010-07-15,Lake Huron,Great Lakes,Great Lakes Province,Y,0.005,0.37,0.261,0.005,,,0.256,,,,,,,0.38375,0.0021725
1013,MI,2010-07-15,Lake Huron,Great Lakes,Great Lakes Province,Y,0.008,0.41,0.188,0.005,,,0.18,,,,,,,0.32875,0.00297375
1014,MI,2010-07-15,Lake Huron,Great Lakes,Great Lakes Province,Y,0.008,0.57,0.197,0.005,,,0.189,,,,,,,0.34875,0.0
1015,MI,2010-07-16,Lake Huron,Great Lakes,Great Lakes Province,Y,0.007,0.7,0.285,0.004,,,0.278,,,,,,,0.41625,0.00213
1016,MI,2010-07-15,Lake Huron,Great Lakes,Great Lakes Province,Y,0.008,0.6,0.202,0.005,,,0.194,,,,,,,0.35625,0.0029825
1017,MI,2010-07-12,Lake Huron,Great Lakes,Great Lakes Province,Y,0.006,4.06688,0.111,0.004,,,0.105,,,,,,,0.43625,0.00691875
1022,WI,2010-07-15,Lake Michigan,Great Lakes,Great Lakes Province,Y,,0.51,0.181,0.0,,,0.181,,,,,,0.23,0.411,0.0039
1023,MI,2010-07-14,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.006,0.77,0.288,0.004,,,0.282,,,,,,,0.43875,0.0022975
1024,WI,2010-07-13,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.0,1.05,0.088,0.0,,,0.088,,,,,,0.19,0.278,0.0044
1025,MI,2010-07-14,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.006,0.491653333,0.275,0.005,,,0.269,,,,,,,0.41375,0.00235625
1026,MI,2010-07-13,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.003,2.45,0.273,0.004,,,0.27,,,,,,,0.4525,0.00355875
1027,MI,2010-07-13,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.005,0.7,0.285,0.004,,,0.28,,,,,,,0.4325,0.00219125
1028,MI,2010-07-14,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.002,1.26,0.28,0.004,,,0.278,,,,,,,0.4275,0.0030125
1029,MI,2010-07-13,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.003,0.87,0.283,0.004,,,0.28,,,,,,,0.43625,0.0
1030,WI,2010-07-27,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.0,0.0,0.166,0.0,,,0.166,,,,,,0.0,0.166,0.0033
1032,MI,2010-07-29,Lake Superior,Great Lakes,Great Lakes Province,Y,0.003,0.44,0.33,0.005,,,0.327,,,,,,,0.45125,0.00224
1033,MI,2010-07-30,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.008,4.2,0.099,0.005,,,0.091,,,,,,,0.429375,0.01099
1034,MI,2010-07-12,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.01,0.23,0.194,0.005,,,0.184,,,,,,,0.34125,0.00237875
1035,NY,2010-07-14,Lake Erie,Great Lakes,Great Lakes Province,Y,0.035,1.93,0.196,0.004,,,0.161,,,,,,,0.415,0.010075
1036,IN,2010-08-13,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.002,0.88,0.235,0.004,,,0.233,,,,,,,0.4375,0.003735
1037,MI,2010-08-03,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.002,4.6,0.004,0.003,,,0.002,,,,,,,0.32375,0.007396875
1038,NY,2010-07-13,Lake Erie,Great Lakes,Great Lakes Province,Y,0.03,1.56,0.196,0.004,,,0.166,,,,,,,0.39875,0.00716625
1039,MI,2010-07-27,Lake Huron,Great Lakes,Great Lakes Province,Y,0.01,0.39,0.245,0.006,,,0.235,,,,,,,0.3825,0.0
1040,PA,2010-07-21,Lake Erie,Great Lakes,Great Lakes Province,Y,0.001,26.35,0.001,0.004,,,0.0,,,,,,,0.565,0.0468975
1041,MI,2010-08-03,Lake Superior,Great Lakes,Great Lakes Province,Y,0.003,0.5,0.308,0.003,,,0.305,,,,,,,0.40125,0.0
1042,MI,2010-07-27,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.007,2.83536,0.097,0.005,,,0.09,,,,,,,0.4575,0.0066625
1043,IL,2010-08-16,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.002,0.72,0.245,0.003,,,0.243,,,,,,,0.385,0.01271125
1044,MI,2010-07-29,Lake Superior,Great Lakes,Great Lakes Province,Y,0.005,0.75,0.323,0.004,,,0.318,,,,,,,0.43875,0.0
1045,MI,2010-08-03,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.001,5.5,0.003,0.003,,,0.002,,,,,,,0.3675,0.009040625
1046,NY,2010-06-13,Lake Ontario,Great Lakes,Great Lakes Province,Y,0.01,1.26,0.198,0.001,,,0.188,,,,,,,0.36625,0.00741875
1047,MI,2010-08-02,Lake Superior,Great Lakes,Great Lakes Province,Y,0.007,0.55,0.312,0.003,,,0.305,,,,,,,0.414375,0.00206625
1048,NY,2010-06-14,Lake Ontario,Great Lakes,Great Lakes Province,Y,0.01,1.75,0.277,0.003,,,0.267,,,,,,,0.44,0.00865625
1049,MI,2010-07-24,Lake Huron,Great Lakes,Great Lakes Province,Y,0.009,2.22,0.077,0.01,,,0.068,,,,,,,0.38,0.03179625
1050,MI,2010-07-23,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.002,1.32,0.002,0.01,,,0.0,,,,,,,0.3375,0.00850125
1051,OH,2010-07-27,Lake Erie,Great Lakes,Great Lakes Province,Y,0.005,29.18,0.005,0.024,,,0.0,,,,,,,0.9875,0.1368275
1052,IN,2010-08-14,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.011,2.43,0.198,0.003,,,0.187,,,,,,,0.3825,0.00607375
